"nomor","id_kasus","status_judgment","status_konsensus","butuh_arbiter","sumber_dokumen","catatan"
"50","CS-JAW-009","triangulated","TBD","TBD","docs\paket_kerja_4_jam_ahli3_batch2_terisi_2026-02-08.md",""
"51","CS-JAW-024","triangulated","TBD","TBD","docs\paket_kerja_4_jam_ahli3_batch2_terisi_2026-02-08.md",""
"52","CS-JAW-025","triangulated","TBD","TBD","docs\paket_kerja_4_jam_ahli3_batch2_terisi_2026-02-08.md",""
"53","CS-JAW-026","triangulated","TBD","TBD","docs\paket_kerja_4_jam_ahli3_batch2_terisi_2026-02-08.md",""
"54","CS-JAW-036","triangulated","TBD","TBD","docs\paket_kerja_4_jam_ahli3_batch2_terisi_2026-02-08.md",""
"55","CS-JAW-037","triangulated","TBD","TBD","docs\paket_kerja_4_jam_ahli3_batch2_terisi_2026-02-08.md",""
"56","CS-JAW-038","triangulated","TBD","TBD","docs\paket_kerja_4_jam_ahli3_batch2_terisi_2026-02-08.md",""
"57","CS-JAW-048","triangulated","TBD","TBD","docs\paket_kerja_4_jam_ahli3_batch2_terisi_2026-02-08.md",""
"58","CS-JAW-049","triangulated","TBD","TBD","docs\paket_kerja_4_jam_ahli3_batch2_terisi_2026-02-08.md",""
"59","CS-JAW-050","triangulated","TBD","TBD","docs\paket_kerja_4_jam_ahli3_batch2_terisi_2026-02-08.md",""
"60","CS-JAW-060","triangulated","TBD","TBD","docs\paket_kerja_4_jam_ahli3_batch2_terisi_2026-02-08.md",""
"61","CS-JAW-061","triangulated","TBD","TBD","docs\paket_kerja_4_jam_ahli3_batch2_terisi_2026-02-08.md",""
"62","CS-JAW-062","triangulated","TBD","TBD","docs\paket_kerja_4_jam_ahli3_batch2_terisi_2026-02-08.md",""
"63","CS-LIN-027","triangulated","TBD","TBD","docs\paket_kerja_4_jam_ahli3_batch2_terisi_2026-02-08.md",""
"64","CS-LIN-028","triangulated","TBD","TBD","docs\paket_kerja_4_jam_ahli3_batch2_terisi_2026-02-08.md",""
"65","CS-LIN-029","triangulated","TBD","TBD","docs\paket_kerja_4_jam_ahli3_batch2_terisi_2026-02-08.md",""
"66","CS-NAS-030","triangulated","TBD","TBD","docs\paket_kerja_4_jam_ahli3_batch2_terisi_2026-02-08.md",""
"67","CS-LIN-039","triangulated","TBD","TBD","docs\paket_kerja_4_jam_ahli3_batch2_terisi_2026-02-08.md",""
"68","CS-LIN-040","triangulated","TBD","TBD","docs\paket_kerja_4_jam_ahli3_batch2_terisi_2026-02-08.md",""
"69","CS-LIN-041","triangulated","TBD","TBD","docs\paket_kerja_4_jam_ahli3_batch2_terisi_2026-02-08.md",""
"70","CS-NAS-042","triangulated","TBD","TBD","docs\paket_kerja_4_jam_ahli3_batch2_terisi_2026-02-08.md",""
"71","CS-LIN-051","triangulated","TBD","TBD","docs\paket_kerja_4_jam_ahli3_batch2_terisi_2026-02-08.md",""
"72","CS-LIN-053","triangulated","TBD","TBD","docs\paket_kerja_4_jam_ahli3_batch2_terisi_2026-02-08.md",""
"73","CS-NAS-054","triangulated","TBD","TBD","docs\paket_kerja_4_jam_ahli3_batch2_terisi_2026-02-08.md",""
"74","CS-LIN-063","triangulated","TBD","TBD","docs\paket_kerja_4_jam_ahli3_batch2_terisi_2026-02-08.md",""
"75","CS-LIN-064","triangulated","TBD","TBD","docs\paket_kerja_4_jam_ahli3_batch2_terisi_2026-02-08.md",""
"76","CS-LIN-065","triangulated","TBD","TBD","docs\paket_kerja_4_jam_ahli3_batch2_terisi_2026-02-08.md",""
"77","CS-NAS-067","triangulated","TBD","TBD","docs\paket_kerja_4_jam_ahli3_batch2_terisi_2026-02-08.md",""
"78","CS-NAS-068","triangulated","TBD","TBD","docs\paket_kerja_4_jam_ahli3_batch2_terisi_2026-02-08.md",""
"79","CS-NAS-069","triangulated","TBD","TBD","docs\paket_kerja_4_jam_ahli3_batch2_terisi_2026-02-08.md",""
"80","CS-NAS-070","triangulated","TBD","TBD","docs\paket_kerja_4_jam_ahli3_batch2_terisi_2026-02-08.md",""
"81","CS-NAS-071","triangulated","TBD","TBD","docs\paket_kerja_4_jam_ahli3_batch2_terisi_2026-02-08.md",""
"82","CS-NAS-072","triangulated","TBD","TBD","docs\paket_kerja_4_jam_ahli3_batch2_terisi_2026-02-08.md",""
